PID		Process Name
251720		Docker Desktop.exe
44264		vmwp.exe
152956		vmmem
88248		dllhost.exe
139412		dllhost.exe
44972		Docker Desktop.exe
214424		Docker Desktop.exe
258148		Docker Desktop.exe
107232		wslrelay.exe
195636		wsl.exe
152308		wsl.exe
242876		wsl.exe
70204		wslhost.exe
34416		conhost.exe
245232		msrdc.exe
127344		wslhost.exe
79628		wslhost.exe
212396		conhost.exe
254420		conhost.exe
107900		wsl.exe
77780		wsl.exe
95044		wsl.exe
27716		wsl.exe
167568		wsl.exe
119140		wsl.exe
144620		wslhost.exe
235084		conhost.exe
238984		msrdc.exe
265856		wslhost.exe
244244		wslhost.exe
41000		wslhost.exe
220652		conhost.exe
23756		conhost.exe
172624		conhost.exe
75900		firefox.exe
174948		firefox.exe
191288		firefox.exe
265840		firefox.exe
6228		firefox.exe
36940		firefox.exe
91920		firefox.exe
30852		firefox.exe
122300		firefox.exe
123952		firefox.exe
153384		firefox.exe
105172		firefox.exe
264704		firefox.exe
194276		firefox.exe
198912		firefox.exe
118860		firefox.exe
43060		firefox.exe
18028		firefox.exe
270228		firefox.exe
74880		firefox.exe
109008		firefox.exe
43156		firefox.exe
139200		firefox.exe
241648		firefox.exe
47556		Code.exe
136328		Code.exe
38884		Code.exe
188384		Code.exe
146484		Code.exe
137644		Code.exe
30224		Code.exe
245044		Code.exe
77280		firefox.exe
105684		cmd.exe
212644		conhost.exe
62632		firefox.exe
270200		firefox.exe
6768		firefox.exe
127488		git-bash.exe
201368		mintty.exe
136008		conhost.exe
123584		bash.exe
172220		Code.exe
41692		Code.exe
233376		Code.exe
43960		Code.exe
107408		gopls.exe
67288		conhost.exe
182108		firefox.exe
194396		firefox.exe
170188		firefox.exe
213580		firefox.exe
53332		notepad.exe
82096		firefox.exe
92320		bash.exe
93740		go.exe
18500		main.exe
231256		firefox.exe
132368		svchost.exe
83628		svchost.exe
262776		firefox.exe
234696		firefox.exe
113168		firefox.exe
92260		WinRAR.exe
139996		ngrok.exe
180696		conhost.exe
153952		cmd.exe
38424		firefox.exe
72500		firefox.exe
212420		firefox.exe
230752		ngrok.exe
103800		firefox.exe
104908		cmd.exe
195236		conhost.exe
102660		svchost.exe
175080		svchost.exe
39264		SndVol.exe
135764		Postman.exe
71392		Postman.exe
77884		Postman.exe
225364		Postman.exe
90536		Postman.exe
55544		Postman.exe
56788		CompPkgSrv.exe
68184		Update.exe
199036		updater.exe
93264		updater.exe
129060		updater.exe
213488		updater.exe
146728		app2.exe
